

Timestamp reset
0 Connected
Can receive synchronous retained messages
15:4 Sending msg:69
16:1 Sending msg:70
16:0 Sending msg:71
16:0 Sending msg:72
16:0 Sending msg:73
16:0 Sending msg:74
16:0 Sending msg:75
16:0 Sending msg:76
17:1 Sending msg:77
17:0 Sending msg:78
17:0 Sending msg:79
17:0 Sending msg:80
17:0 Sending msg:81
17:0 Sending msg:82
17:0 Sending msg:83
17:0 Sending msg:84
18:1 Sending msg:85
18:0 Sending msg:86
18:0 Sending msg:87
18:0 Sending msg:88
18:0 Sending msg:89
18:0 Sending msg:90
18:0 Sending msg:91
18:0 Sending msg:92
19:1 Sending msg:93
19:0 Sending msg:94
19:0 Sending msg:95
19:0 Sending msg:96
19:0 Sending msg:97
19:0 Sending msg:98
19:0 Sending msg:99
492:473 Subscribed
677:185 Received msg:0
679:2 Received msg:1
680:1 Received msg:2
682:2 Received msg:3
684:2 Received msg:4
685:1 Received msg:5
687:2 Received msg:6
693:6 Received msg:7
695:2 Received msg:8
696:1 Received msg:9
698:2 Received msg:10
699:1 Received msg:11
702:3 Received msg:12
706:4 Received msg:13
710:4 Received msg:14
713:3 Received msg:15
718:5 Received msg:16
724:6 Received msg:17
727:3 Received msg:18
731:4 Received msg:19
732:1 Received msg:20
736:4 Received msg:21
741:5 Received msg:22
743:2 Received msg:23
745:2 Received msg:24
746:1 Received msg:25
751:5 Received msg:26
759:8 Received msg:27
826:67 Received msg:28
859:33 Received msg:29
868:9 Received msg:30
881:13 Received msg:31
886:5 Received msg:32
887:1 Received msg:33
888:1 Received msg:34
889:1 Received msg:35
891:2 Received msg:36
892:1 Received msg:37
893:1 Received msg:38
894:1 Received msg:39
898:4 Received msg:40
908:10 Received msg:41
911:3 Received msg:42
914:3 Received msg:43
916:2 Received msg:44
918:2 Received msg:45
919:1 Received msg:46
921:2 Received msg:47
923:2 Received msg:48
925:2 Received msg:49
926:1 Received msg:50
928:2 Received msg:51
929:1 Received msg:52
930:1 Received msg:53
932:2 Received msg:54
933:1 Received msg:55
936:3 Received msg:56
939:3 Received msg:57
942:3 Received msg:58
945:3 Received msg:59
948:3 Received msg:60
951:3 Received msg:61
955:4 Received msg:62
958:3 Received msg:63
965:7 Received msg:64
966:1 Received msg:65
967:1 Received msg:66
969:2 Received msg:67
973:4 Received msg:68
977:4 Received msg:69
980:3 Received msg:70
982:2 Received msg:71
985:3 Received msg:72
987:2 Received msg:73
989:2 Received msg:74
992:3 Received msg:75
995:3 Received msg:76
1000:5 Received msg:77
1007:7 Received msg:78
1014:7 Received msg:79
1015:1 Received msg:80
1020:5 Received msg:81
1023:3 Received msg:82
1024:1 Received msg:83
1025:1 Received msg:84
1035:10 Received msg:85
1048:13 Received msg:86
1050:2 Received msg:87
1052:2 Received msg:88
1063:11 Received msg:89
1065:2 Received msg:90
1066:1 Received msg:91
1067:1 Received msg:92
1068:1 Received msg:93
1072:4 Received msg:94
1073:1 Received msg:95
1075:2 Received msg:96
1076:1 Received msg:97
1077:1 Received msg:98
1078:1 Received msg:99

Timestamp reset
0 Connected
Can ping back messages to test roundtrip time
13:13 Subscribed
13:0 Sending msg:0
27:14 Received msg:0
27:0 Sending msg:1
37:10 Received msg:1
38:1 Sending msg:2
55:17 Received msg:2
55:0 Sending msg:3
68:13 Received msg:3
68:0 Sending msg:4
82:14 Received msg:4
82:0 Sending msg:5
89:7 Received msg:5
89:0 Sending msg:6
97:8 Received msg:6
97:0 Sending msg:7
108:11 Received msg:7
108:0 Sending msg:8
114:6 Received msg:8
114:0 Sending msg:9
131:17 Received msg:9
131:0 Sending msg:10
140:9 Received msg:10
140:0 Sending msg:11
148:8 Received msg:11
148:0 Sending msg:12
160:12 Received msg:12
160:0 Sending msg:13
168:8 Received msg:13
168:0 Sending msg:14
174:6 Received msg:14
174:0 Sending msg:15
190:16 Received msg:15
190:0 Sending msg:16
202:12 Received msg:16
202:0 Sending msg:17
208:6 Received msg:17
208:0 Sending msg:18
216:8 Received msg:18
216:0 Sending msg:19
222:6 Received msg:19
222:0 Sending msg:20
229:7 Received msg:20
229:0 Sending msg:21
237:8 Received msg:21
237:0 Sending msg:22
247:10 Received msg:22
247:0 Sending msg:23
254:7 Received msg:23
254:0 Sending msg:24
263:9 Received msg:24
263:0 Sending msg:25
273:10 Received msg:25
273:0 Sending msg:26
284:11 Received msg:26
284:0 Sending msg:27
294:10 Received msg:27
294:0 Sending msg:28
302:8 Received msg:28
302:0 Sending msg:29
316:14 Received msg:29
316:0 Sending msg:30
325:9 Received msg:30
326:1 Sending msg:31
335:9 Received msg:31
335:0 Sending msg:32
348:13 Received msg:32
349:1 Sending msg:33
358:9 Received msg:33
358:0 Sending msg:34
368:10 Received msg:34
368:0 Sending msg:35
383:15 Received msg:35
383:0 Sending msg:36
393:10 Received msg:36
393:0 Sending msg:37
401:8 Received msg:37
401:0 Sending msg:38
415:14 Received msg:38
415:0 Sending msg:39
427:12 Received msg:39
427:0 Sending msg:40
434:7 Received msg:40
434:0 Sending msg:41
442:8 Received msg:41
442:0 Sending msg:42
453:11 Received msg:42
453:0 Sending msg:43
461:8 Received msg:43
461:0 Sending msg:44
468:7 Received msg:44
468:0 Sending msg:45
482:14 Received msg:45
482:0 Sending msg:46
491:9 Received msg:46
492:1 Sending msg:47
507:15 Received msg:47
507:0 Sending msg:48
530:23 Received msg:48
530:0 Sending msg:49
544:14 Received msg:49
544:0 Sending msg:50
555:11 Received msg:50
555:0 Sending msg:51
569:14 Received msg:51
569:0 Sending msg:52
580:11 Received msg:52
580:0 Sending msg:53
590:10 Received msg:53
591:1 Sending msg:54
601:10 Received msg:54
601:0 Sending msg:55
626:25 Received msg:55
627:1 Sending msg:56
641:14 Received msg:56
641:0 Sending msg:57
649:8 Received msg:57
649:0 Sending msg:58
661:12 Received msg:58
661:0 Sending msg:59
