

Timestamp reset
0 Connected
Can receive synchronous retained messages
12:0 Sending msg:66
12:0 Sending msg:67
12:0 Sending msg:68
12:0 Sending msg:69
13:1 Sending msg:70
13:0 Sending msg:71
13:0 Sending msg:72
13:0 Sending msg:73
13:0 Sending msg:74
13:0 Sending msg:75
13:0 Sending msg:76
13:0 Sending msg:77
13:0 Sending msg:78
13:0 Sending msg:79
13:0 Sending msg:80
13:0 Sending msg:81
14:1 Sending msg:82
14:0 Sending msg:83
14:0 Sending msg:84
14:0 Sending msg:85
14:0 Sending msg:86
14:0 Sending msg:87
14:0 Sending msg:88
14:0 Sending msg:89
14:0 Sending msg:90
14:0 Sending msg:91
14:0 Sending msg:92
14:0 Sending msg:93
14:0 Sending msg:94
15:1 Sending msg:95
15:0 Sending msg:96
15:0 Sending msg:97
15:0 Sending msg:98
15:0 Sending msg:99
552:537 Subscribed
686:134 Received msg:0
689:3 Received msg:1
692:3 Received msg:2
694:2 Received msg:3
697:3 Received msg:4
699:2 Received msg:5
702:3 Received msg:6
705:3 Received msg:7
708:3 Received msg:8
714:6 Received msg:9
718:4 Received msg:10
721:3 Received msg:11
723:2 Received msg:12
726:3 Received msg:13
729:3 Received msg:14
732:3 Received msg:15
735:3 Received msg:16
740:5 Received msg:17
746:6 Received msg:18
750:4 Received msg:19
758:8 Received msg:20
764:6 Received msg:21
768:4 Received msg:22
771:3 Received msg:23
775:4 Received msg:24
779:4 Received msg:25
785:6 Received msg:26
789:4 Received msg:27
820:31 Received msg:28
849:29 Received msg:29
893:44 Received msg:30
903:10 Received msg:31
909:6 Received msg:32
913:4 Received msg:33
918:5 Received msg:34
924:6 Received msg:35
927:3 Received msg:36
930:3 Received msg:37
934:4 Received msg:38
938:4 Received msg:39
941:3 Received msg:40
945:4 Received msg:41
948:3 Received msg:42
951:3 Received msg:43
954:3 Received msg:44
957:3 Received msg:45
960:3 Received msg:46
963:3 Received msg:47
966:3 Received msg:48
968:2 Received msg:49
971:3 Received msg:50
974:3 Received msg:51
977:3 Received msg:52
980:3 Received msg:53
984:4 Received msg:54
987:3 Received msg:55
991:4 Received msg:56
994:3 Received msg:57
1003:9 Received msg:58
1007:4 Received msg:59
1010:3 Received msg:60
1018:8 Received msg:61
1022:4 Received msg:62
1025:3 Received msg:63
1029:4 Received msg:64
1033:4 Received msg:65
1035:2 Received msg:66
1038:3 Received msg:67
1040:2 Received msg:68
1043:3 Received msg:69
1046:3 Received msg:70
1049:3 Received msg:71
1051:2 Received msg:72
1054:3 Received msg:73
1057:3 Received msg:74
1060:3 Received msg:75
1064:4 Received msg:76
1067:3 Received msg:77
1069:2 Received msg:78
1073:4 Received msg:79
1075:2 Received msg:80
1078:3 Received msg:81
1080:2 Received msg:82
1083:3 Received msg:83
1086:3 Received msg:84
1088:2 Received msg:85
1091:3 Received msg:86
1094:3 Received msg:87
1096:2 Received msg:88
1102:6 Received msg:89
1107:5 Received msg:90
1114:7 Received msg:91
1119:5 Received msg:92
1122:3 Received msg:93
1124:2 Received msg:94
1127:3 Received msg:95
1130:3 Received msg:96
1133:3 Received msg:97
1135:2 Received msg:98
1137:2 Received msg:99

Timestamp reset
0 Connected
Can ping back messages to test roundtrip time
6:6 Subscribed
7:1 Sending msg:0
17:10 Received msg:0
18:1 Sending msg:1
26:8 Received msg:1
26:0 Sending msg:2
33:7 Received msg:2
33:0 Sending msg:3
42:9 Received msg:3
42:0 Sending msg:4
52:10 Received msg:4
52:0 Sending msg:5
61:9 Received msg:5
61:0 Sending msg:6
78:17 Received msg:6
78:0 Sending msg:7
87:9 Received msg:7
87:0 Sending msg:8
98:11 Received msg:8
98:0 Sending msg:9
108:10 Received msg:9
108:0 Sending msg:10
118:10 Received msg:10
118:0 Sending msg:11
124:6 Received msg:11
124:0 Sending msg:12
130:6 Received msg:12
130:0 Sending msg:13
138:8 Received msg:13
138:0 Sending msg:14
145:7 Received msg:14
145:0 Sending msg:15
151:6 Received msg:15
151:0 Sending msg:16
158:7 Received msg:16
158:0 Sending msg:17
164:6 Received msg:17
164:0 Sending msg:18
175:11 Received msg:18
175:0 Sending msg:19
182:7 Received msg:19
182:0 Sending msg:20
191:9 Received msg:20
191:0 Sending msg:21
198:7 Received msg:21
198:0 Sending msg:22
205:7 Received msg:22
205:0 Sending msg:23
211:6 Received msg:23
212:1 Sending msg:24
218:6 Received msg:24
218:0 Sending msg:25
224:6 Received msg:25
224:0 Sending msg:26
231:7 Received msg:26
231:0 Sending msg:27
238:7 Received msg:27
238:0 Sending msg:28
245:7 Received msg:28
245:0 Sending msg:29
258:13 Received msg:29
258:0 Sending msg:30
267:9 Received msg:30
267:0 Sending msg:31
275:8 Received msg:31
275:0 Sending msg:32
283:8 Received msg:32
283:0 Sending msg:33
291:8 Received msg:33
291:0 Sending msg:34
300:9 Received msg:34
300:0 Sending msg:35
308:8 Received msg:35
308:0 Sending msg:36
315:7 Received msg:36
315:0 Sending msg:37
323:8 Received msg:37
323:0 Sending msg:38
331:8 Received msg:38
331:0 Sending msg:39
342:11 Received msg:39
342:0 Sending msg:40
351:9 Received msg:40
351:0 Sending msg:41
359:8 Received msg:41
359:0 Sending msg:42
369:10 Received msg:42
370:1 Sending msg:43
378:8 Received msg:43
378:0 Sending msg:44
386:8 Received msg:44
386:0 Sending msg:45
395:9 Received msg:45
395:0 Sending msg:46
402:7 Received msg:46
402:0 Sending msg:47
411:9 Received msg:47
411:0 Sending msg:48
418:7 Received msg:48
418:0 Sending msg:49
426:8 Received msg:49
426:0 Sending msg:50
436:10 Received msg:50
437:1 Sending msg:51
443:6 Received msg:51
443:0 Sending msg:52
452:9 Received msg:52
452:0 Sending msg:53
480:28 Received msg:53
481:1 Sending msg:54
489:8 Received msg:54
489:0 Sending msg:55
498:9 Received msg:55
498:0 Sending msg:56
514:16 Received msg:56
514:0 Sending msg:57
523:9 Received msg:57
523:0 Sending msg:58
537:14 Received msg:58
537:0 Sending msg:59
564:27 Received msg:59
564:0 Sending msg:60
573:9 Received msg:60
574:1 Sending msg:61
582:8 Received msg:61
582:0 Sending msg:62
593:11 Received msg:62
593:0 Sending msg:63
608:15 Received msg:63
608:0 Sending msg:64
634:26 Received msg:64
635:1 Sending msg:65
644:9 Received msg:65
644:0 Sending msg:66
654:10 Received msg:66
654:0 Sending msg:67
662:8 Received msg:67
662:0 Sending msg:68
669:7 Received msg:68
669:0 Sending msg:69
675:6 Received msg:69
675:0 Sending msg:70
682:7 Received msg:70
682:0 Sending msg:71
688:6 Received msg:71
688:0 Sending msg:72
695:7 Received msg:72
695:0 Sending msg:73
701:6 Received msg:73
701:0 Sending msg:74
708:7 Received msg:74
708:0 Sending msg:75
719:11 Received msg:75
719:0 Sending msg:76
729:10 Received msg:76
732:3 Sending msg:77
739:7 Received msg:77
739:0 Sending msg:78
747:8 Received msg:78
747:0 Sending msg:79
769:22 Received msg:79
769:0 Sending msg:80
780:11 Received msg:80
780:0 Sending msg:81
788:8 Received msg:81
788:0 Sending msg:82
797:9 Received msg:82
797:0 Sending msg:83
807:10 Received msg:83
807:0 Sending msg:84
815:8 Received msg:84
815:0 Sending msg:85
822:7 Received msg:85
822:0 Sending msg:86
830:8 Received msg:86
830:0 Sending msg:87
840:10 Received msg:87
840:0 Sending msg:88
847:7 Received msg:88
847:0 Sending msg:89
853:6 Received msg:89
853:0 Sending msg:90
860:7 Received msg:90
861:1 Sending msg:91
872:11 Received msg:91
872:0 Sending msg:92
880:8 Received msg:92
880:0 Sending msg:93
888:8 Received msg:93
888:0 Sending msg:94
894:6 Received msg:94
894:0 Sending msg:95
901:7 Received msg:95
901:0 Sending msg:96
911:10 Received msg:96
911:0 Sending msg:97
919:8 Received msg:97
919:0 Sending msg:98
925:6 Received msg:98
925:0 Sending msg:99
932:7 Received msg:99
