Timestamp reset
0 Connected
Can receive synchronous retained messages
12:0 Sending msg:69
12:0 Sending msg:70
14:2 Sending msg:71
14:0 Sending msg:72
14:0 Sending msg:73
14:0 Sending msg:74
14:0 Sending msg:75
14:0 Sending msg:76
14:0 Sending msg:77
14:0 Sending msg:78
14:0 Sending msg:79
14:0 Sending msg:80
15:1 Sending msg:81
15:0 Sending msg:82
15:0 Sending msg:83
15:0 Sending msg:84
15:0 Sending msg:85
15:0 Sending msg:86
15:0 Sending msg:87
15:0 Sending msg:88
16:1 Sending msg:89
16:0 Sending msg:90
16:0 Sending msg:91
16:0 Sending msg:92
16:0 Sending msg:93
16:0 Sending msg:94
16:0 Sending msg:95
16:0 Sending msg:96
17:1 Sending msg:97
17:0 Sending msg:98
17:0 Sending msg:99
400:383 Received msg:0
401:1 Received msg:1
402:1 Received msg:2
402:0 Received msg:3
403:1 Received msg:4
403:0 Received msg:5
404:1 Received msg:6
405:1 Received msg:7
405:0 Received msg:8
406:1 Received msg:9
406:0 Received msg:10
408:2 Received msg:11
412:4 Received msg:12
413:1 Received msg:13
414:1 Received msg:14
415:1 Received msg:15
421:6 Received msg:16
421:0 Received msg:17
422:1 Received msg:18
423:1 Received msg:19
423:0 Received msg:20
424:1 Received msg:21
424:0 Received msg:22
425:1 Received msg:23
426:1 Received msg:24
427:1 Received msg:25
428:1 Received msg:26
431:3 Received msg:27
438:7 Received msg:28
438:0 Received msg:29
439:1 Received msg:30
442:3 Received msg:31
443:1 Received msg:32
444:1 Received msg:33
444:0 Received msg:34
445:1 Received msg:35
445:0 Received msg:36
446:1 Received msg:37
448:2 Received msg:38
449:1 Received msg:39
449:0 Received msg:40
450:1 Received msg:41
451:1 Received msg:42
452:1 Received msg:43
453:1 Received msg:44
453:0 Received msg:45
453:0 Received msg:46
454:1 Received msg:47
454:0 Received msg:48
455:1 Received msg:49
455:0 Received msg:50
456:1 Received msg:51
456:0 Received msg:52
457:1 Received msg:53
457:0 Received msg:54
457:0 Received msg:55
458:1 Received msg:56
458:0 Received msg:57
459:1 Received msg:58
459:0 Received msg:59
460:1 Received msg:60
460:0 Received msg:61
461:1 Received msg:62
461:0 Received msg:63
462:1 Received msg:64
462:0 Received msg:65
462:0 Received msg:66
463:1 Received msg:67
463:0 Received msg:68
464:1 Received msg:69
464:0 Received msg:70
465:1 Received msg:71
465:0 Received msg:72
466:1 Received msg:73
466:0 Received msg:74
467:1 Received msg:75
467:0 Received msg:76
468:1 Received msg:77
468:0 Received msg:78
469:1 Received msg:79
470:1 Received msg:80
471:1 Received msg:81
471:0 Received msg:82
472:1 Received msg:83
473:1 Received msg:84
473:0 Received msg:85
477:4 Received msg:86
478:1 Received msg:87
479:1 Received msg:88
480:1 Received msg:89
484:4 Received msg:90
488:4 Received msg:91
489:1 Received msg:92
489:0 Received msg:93
490:1 Received msg:94
491:1 Received msg:95
492:1 Received msg:96
493:1 Received msg:97
494:1 Received msg:98
495:1 Received msg:99

Timestamp reset
0 Connected
Can ping back messages to test roundtrip time
200:200 Subscribed
200:0 Sending msg:0
400:200 Received msg:0
401:1 Sending msg:1
601:200 Received msg:1
601:0 Sending msg:2
802:201 Received msg:2
802:0 Sending msg:3
1002:200 Received msg:3
1002:0 Sending msg:4
1202:200 Received msg:4
1202:0 Sending msg:5
1403:201 Received msg:5
1403:0 Sending msg:6
1603:200 Received msg:6
1603:0 Sending msg:7
1804:201 Received msg:7
1804:0 Sending msg:8
2005:201 Received msg:8
2005:0 Sending msg:9
2205:200 Received msg:9
2205:0 Sending msg:10
2405:200 Received msg:10
2405:0 Sending msg:11
2606:201 Received msg:11
2606:0 Sending msg:12
2806:200 Received msg:12
2806:0 Sending msg:13
3007:201 Received msg:13
3007:0 Sending msg:14
3207:200 Received msg:14
3207:0 Sending msg:15
3408:201 Received msg:15
3408:0 Sending msg:16
3608:200 Received msg:16
3608:0 Sending msg:17
3808:200 Received msg:17
3808:0 Sending msg:18
4009:201 Received msg:18
4009:0 Sending msg:19
4209:200 Received msg:19
4209:0 Sending msg:20
4410:201 Received msg:20
4410:0 Sending msg:21
4610:200 Received msg:21
4610:0 Sending msg:22
4811:201 Received msg:22
4811:0 Sending msg:23
5011:200 Received msg:23
5011:0 Sending msg:24
5212:201 Received msg:24
5212:0 Sending msg:25
5412:200 Received msg:25
5412:0 Sending msg:26
5613:201 Received msg:26
5613:0 Sending msg:27
5813:200 Received msg:27
5813:0 Sending msg:28
6014:201 Received msg:28
6014:0 Sending msg:29
6214:200 Received msg:29
6214:0 Sending msg:30
6415:201 Received msg:30
6415:0 Sending msg:31
6615:200 Received msg:31
6615:0 Sending msg:32
6815:200 Received msg:32
6815:0 Sending msg:33
7016:201 Received msg:33
7016:0 Sending msg:34
7217:201 Received msg:34
7217:0 Sending msg:35
7418:201 Received msg:35
7418:0 Sending msg:36
7618:200 Received msg:36
7618:0 Sending msg:37
7819:201 Received msg:37
7819:0 Sending msg:38
8020:201 Received msg:38
8020:0 Sending msg:39
8220:200 Received msg:39
8220:0 Sending msg:40
8421:201 Received msg:40
8421:0 Sending msg:41
8621:200 Received msg:41
8621:0 Sending msg:42
8822:201 Received msg:42
8822:0 Sending msg:43
9022:200 Received msg:43
9022:0 Sending msg:44
9223:201 Received msg:44
9223:0 Sending msg:45
9423:200 Received msg:45
9423:0 Sending msg:46
9624:201 Received msg:46
9624:0 Sending msg:47
9824:200 Received msg:47
9824:0 Sending msg:48
10024:200 Received msg:48
10024:0 Sending msg:49
10225:201 Received msg:49
10225:0 Sending msg:50
10425:200 Received msg:50
10425:0 Sending msg:51
10626:201 Received msg:51
10626:0 Sending msg:52
10826:200 Received msg:52
10826:0 Sending msg:53
11026:200 Received msg:53
11026:0 Sending msg:54
11227:201 Received msg:54
11227:0 Sending msg:55
11427:200 Received msg:55
11428:1 Sending msg:56
11628:200 Received msg:56
11628:0 Sending msg:57
11828:200 Received msg:57
11828:0 Sending msg:58
12030:202 Received msg:58
12030:0 Sending msg:59
12231:201 Received msg:59
12231:0 Sending msg:60
12429:198 Received msg:60
12430:1 Sending msg:61
12630:200 Received msg:61
12630:0 Sending msg:62
12831:201 Received msg:62
12831:0 Sending msg:63
13032:201 Received msg:63
13032:0 Sending msg:64
13233:201 Received msg:64
13233:0 Sending msg:65
13431:198 Received msg:65
13432:1 Sending msg:66
13632:200 Received msg:66
13632:0 Sending msg:67
13832:200 Received msg:67
13832:0 Sending msg:68
14033:201 Received msg:68
14033:0 Sending msg:69
14233:200 Received msg:69
14233:0 Sending msg:70
14434:201 Received msg:70
14434:0 Sending msg:71
14634:200 Received msg:71
14634:0 Sending msg:72
14835:201 Received msg:72
14835:0 Sending msg:73
15035:200 Received msg:73
15035:0 Sending msg:74
15236:201 Received msg:74
15236:0 Sending msg:75
15436:200 Received msg:75
15437:1 Sending msg:76
15637:200 Received msg:76
15637:0 Sending msg:77
15837:200 Received msg:77
15837:0 Sending msg:78
16038:201 Received msg:78
16038:0 Sending msg:79
16239:201 Received msg:79
16239:0 Sending msg:80
16439:200 Received msg:80
16439:0 Sending msg:81
16640:201 Received msg:81
16640:0 Sending msg:82
16840:200 Received msg:82
16840:0 Sending msg:83
17040:200 Received msg:83
17040:0 Sending msg:84
17241:201 Received msg:84
17241:0 Sending msg:85
17443:202 Received msg:85
17443:0 Sending msg:86
17642:199 Received msg:86
17642:0 Sending msg:87
17842:200 Received msg:87
17842:0 Sending msg:88
18043:201 Received msg:88
18043:0 Sending msg:89
18243:200 Received msg:89
18243:0 Sending msg:90
18443:200 Received msg:90
18443:0 Sending msg:91
18644:201 Received msg:91
18644:0 Sending msg:92
18844:200 Received msg:92
18844:0 Sending msg:93
19045:201 Received msg:93
19045:0 Sending msg:94
19245:200 Received msg:94
19245:0 Sending msg:95
19445:200 Received msg:95
19446:1 Sending msg:96
19646:200 Received msg:96
19646:0 Sending msg:97
19846:200 Received msg:97
19847:1 Sending msg:98
20047:200 Received msg:98
20047:0 Sending msg:99
20248:201 Received msg:99497:2 Subscribed
