

Timestamp reset
0 Connected
Can receive synchronous retained messages
821:0 Sending msg:33
841:20 Received msg:33
841:0 Sending msg:34
866:25 Received msg:34
866:0 Sending msg:35
884:18 Received msg:35
884:0 Sending msg:36
907:23 Received msg:36
907:0 Sending msg:37
943:36 Received msg:37
943:0 Sending msg:38
973:30 Received msg:38
973:0 Sending msg:39
1003:30 Received msg:39
1003:0 Sending msg:40
1037:34 Received msg:40
1037:0 Sending msg:41
1060:23 Received msg:41
1061:1 Sending msg:42
1092:31 Received msg:42
1092:0 Sending msg:43
1115:23 Received msg:43
1115:0 Sending msg:44
1139:24 Received msg:44
1139:0 Sending msg:45
1164:25 Received msg:45
1165:1 Sending msg:46
1187:22 Received msg:46
1187:0 Sending msg:47
1214:27 Received msg:47
1215:1 Sending msg:48
1236:21 Received msg:48
1236:0 Sending msg:49
1255:19 Received msg:49
1256:1 Sending msg:50
1274:18 Received msg:50
1274:0 Sending msg:51
1293:19 Received msg:51
1293:0 Sending msg:52
1319:26 Received msg:52
1319:0 Sending msg:53
1342:23 Received msg:53
1343:1 Sending msg:54
1373:30 Received msg:54
1373:0 Sending msg:55
1402:29 Received msg:55
1402:0 Sending msg:56
1423:21 Received msg:56
1423:0 Sending msg:57
1455:32 Received msg:57
1455:0 Sending msg:58
1476:21 Received msg:58
1477:1 Sending msg:59
1495:18 Received msg:59
1495:0 Sending msg:60
1516:21 Received msg:60
1516:0 Sending msg:61
1533:17 Received msg:61
1533:0 Sending msg:62
1550:17 Received msg:62
1551:1 Sending msg:63
1584:33 Received msg:63
1584:0 Sending msg:64
1626:42 Received msg:64
1627:1 Sending msg:65
1653:26 Received msg:65
1654:1 Sending msg:66
1675:21 Received msg:66
1675:0 Sending msg:67
1694:19 Received msg:67
1694:0 Sending msg:68
1716:22 Received msg:68
1716:0 Sending msg:69
1735:19 Received msg:69
1735:0 Sending msg:70
1755:20 Received msg:70
1755:0 Sending msg:71
1774:19 Received msg:71
1774:0 Sending msg:72
1793:19 Received msg:72
1794:1 Sending msg:73
1818:24 Received msg:73
1818:0 Sending msg:74
1847:29 Received msg:74
1847:0 Sending msg:75
1873:26 Received msg:75
1874:1 Sending msg:76
1897:23 Received msg:76
1898:1 Sending msg:77
1920:22 Received msg:77
1920:0 Sending msg:78
1962:42 Received msg:78
1962:0 Sending msg:79
1979:17 Received msg:79
1979:0 Sending msg:80
1999:20 Received msg:80
1999:0 Sending msg:81
2017:18 Received msg:81
2017:0 Sending msg:82
2036:19 Received msg:82
2036:0 Sending msg:83
2050:14 Received msg:83
2050:0 Sending msg:84
2065:15 Received msg:84
2065:0 Sending msg:85
2081:16 Received msg:85
2081:0 Sending msg:86
2102:21 Received msg:86
2102:0 Sending msg:87
2138:36 Received msg:87
2138:0 Sending msg:88
2155:17 Received msg:88
2156:1 Sending msg:89
2170:14 Received msg:89
2170:0 Sending msg:90
2178:8 Received msg:90
2178:0 Sending msg:91
2193:15 Received msg:91
2193:0 Sending msg:92
2202:9 Received msg:92
2202:0 Sending msg:93
2213:11 Received msg:93
2213:0 Sending msg:94
2230:17 Received msg:94
2230:0 Sending msg:95
2242:12 Received msg:95
2243:1 Sending msg:96
2252:9 Received msg:96
2252:0 Sending msg:97
2264:12 Received msg:97
2264:0 Sending msg:98
2277:13 Received msg:98
2277:0 Sending msg:99
2289:12 Received msg:99
